Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period,Footnotes
Table 7,Financials - Maori authorities,Total all industries,Other assets,Financial position,Thousand Dollars,8941821,2020,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Other assets,Financial position,Thousand Dollars,9039855,2021,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Total equity and liabilities,Financial position,Thousand Dollars,20866338,2020,1 and 2 and 3 and 4 and 6
Table 7,Financials - Maori authorities,Total all industries,Total equity and liabilities,Financial position,Thousand Dollars,21487617,2021,1 and 2 and 3 and 4 and 6
Table 7,Financials - Maori authorities,Total all industries,Shareholders funds or owners equity,Financial position,Thousand Dollars,14675655,2020,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Shareholders funds or owners equity,Financial position,Thousand Dollars,15362588,2021,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Current liabilities,Financial position,Thousand Dollars,2154412,2020,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Current liabilities,Financial position,Thousand Dollars,2209754,2021,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Other liabilities,Financial position,Thousand Dollars,4036271,2020,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Other liabilities,Financial position,Thousand Dollars,3915275,2021,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Total income per employee count,Financial ratios,Dollars,358924,2020,1 and 2 and 3 and 4 and 8
Table 7,Financials - Maori authorities,Total all industries,Total income per employee count,Financial ratios,Dollars,426497,2021,1 and 2 and 3 and 4 and 8
Table 7,Financials - Maori authorities,Total all industries,Surplus per employee count,Financial ratios,Dollars,45577,2020,1 and 2 and 3 and 4 and 8
Table 7,Financials - Maori authorities,Total all industries,Surplus per employee count,Financial ratios,Dollars,113592,2021,1 and 2 and 3 and 4 and 8
Table 7,Financials - Maori authorities,Total all industries,Current ratio,Financial ratios,Percent,151.4,2020,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Current ratio,Financial ratios,Percent,150.9,2021,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Quick ratio,Financial ratios,Percent,126.6,2020,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Quick ratio,Financial ratios,Percent,126.3,2021,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Return on equity,Financial ratios,Percent,2.9,2020,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Return on equity,Financial ratios,Percent,6.9,2021,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Return on total assets,Financial ratios,Percent,2,2020,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Return on total assets,Financial ratios,Percent,4.9,2021,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Liabilities structure,Financial ratios,Percent,70.3,2020,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Liabilities structure,Financial ratios,Percent,71.5,2021,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Debt to equity ratio,Financial ratios,Percent,42.2,2020,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Debt to equity ratio,Financial ratios,Percent,39.9,2021,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total income,Financial performance,Thousand Dollars,506730,2020,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total income,Financial performance,Thousand Dollars,512012,2021,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total expenditure,Financial performance,Thousand Dollars,450748,2020,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total expenditure,Financial performance,Thousand Dollars,445819,2021,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Interest and donations,Financial performance,Thousand Dollars,24559,2020,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Interest and donations,Financial performance,Thousand Dollars,20705,2021,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Indirect taxes,Financial performance,Thousand Dollars,7535,2020,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Indirect taxes,Financial performance,Thousand Dollars,6881,2021,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Depreciation,Financial performance,Thousand Dollars,24580,2020,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Depreciation,Financial performance,Thousand Dollars,25094,2021,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Salaries and wages paid,Financial performance,Thousand Dollars,59496,2020,1 and 2 and 3 and 4 and 5
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Salaries and wages paid,Financial performance,Thousand Dollars,61589,2021,1 and 2 and 3 and 4 and 5
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Purchases and other expenses,Financial performance,Thousand Dollars,334578,2020,1 and 2 and 3 and 4 and 6
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Purchases and other expenses,Financial performance,Thousand Dollars,331550,2021,1 and 2 and 3 and 4 and 6
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Opening stocks,Financial performance,Thousand Dollars,316981,2020,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Opening stocks,Financial performance,Thousand Dollars,308846,2021,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Closing stocks,Financial performance,Thousand Dollars,310088,2020,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Closing stocks,Financial performance,Thousand Dollars,309379,2021,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Surplus before income tax,Financial performance,Thousand Dollars,49089,2020,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Surplus before income tax,Financial performance,Thousand Dollars,66726,2021,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total assets,Financial position,Thousand Dollars,3489711,2020,1 and 2 and 3 and 4 and 7
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total assets,Financial position,Thousand Dollars,3660607,2021,1 and 2 and 3 and 4 and 7
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Current assets,Financial position,Thousand Dollars,607817,2020,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Current assets,Financial position,Thousand Dollars,634052,2021,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Fixed tangible assets,Financial position,Thousand Dollars,2328426,2020,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Fixed tangible assets,Financial position,Thousand Dollars,2462972,2021,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Other assets,Financial position,Thousand Dollars,553468,2020,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Other assets,Financial position,Thousand Dollars,563583,2021,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total equity and liabilities,Financial position,Thousand Dollars,3489711,2020,1 and 2 and 3 and 4 and 7
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total equity and liabilities,Financial position,Thousand Dollars,3660607,2021,1 and 2 and 3 and 4 and 7
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Shareholders funds or owners equity,Financial position,Thousand Dollars,2779311,2020,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Shareholders funds or owners equity,Financial position,Thousand Dollars,2942259,2021,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Current liabilities,Financial position,Thousand Dollars,192202,2020,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Current liabilities,Financial position,Thousand Dollars,215235,2021,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Other liabilities,Financial position,Thousand Dollars,518198,2020,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Other liabilities,Financial position,Thousand Dollars,503112,2021,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total income per employee count,Financial ratios,Dollars,291495,2020,1 and 2 and 3 and 4 and 8
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total income per employee count,Financial ratios,Dollars,287804,2021,1 and 2 and 3 and 4 and 8
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Surplus per employee count,Financial ratios,Dollars,28238,2020,1 and 2 and 3 and 4 and 8
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Surplus per employee count,Financial ratios,Dollars,37507,2021,1 and 2 and 3 and 4 and 8
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Current ratio,Financial ratios,Percent,316.2,2020,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Current ratio,Financial ratios,Percent,294.6,2021,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Quick ratio,Financial ratios,Percent,154.9,2020,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Quick ratio,Financial ratios,Percent,150.8,2021,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Return on equity,Financial ratios,Percent,1.8,2020,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Return on equity,Financial ratios,Percent,2.3,2021,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Return on total assets,Financial ratios,Percent,1.4,2020,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Return on total assets,Financial ratios,Percent,1.8,2021,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Liabilities structure,Financial ratios,Percent,79.6,2020,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Liabilities structure,Financial ratios,Percent,80.4,2021,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Debt to equity ratio,Financial ratios,Percent,25.6,2020,1 and 2 and 3 and 4
Table 8,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Debt to equity ratio,Financial ratios,Percent,24.4,2021,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total income,Financial performance,Thousand Dollars,364599,2020,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total income,Financial performance,Thousand Dollars,691196,2021,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Sales of goods and services,Financial performance,Thousand Dollars,272893,2020,1 and 2 and 3 and 4 and 5
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Sales of goods and services,Financial performance,Thousand Dollars,292226,2021,1 and 2 and 3 and 4 and 5
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,"Interest, dividends and donations",Financial performance,Thousand Dollars,12970,2020,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,"Interest, dividends and donations",Financial performance,Thousand Dollars,12989,2021,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Non-operating income,Financial performance,Thousand Dollars,78737,2020,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Non-operating income,Financial performance,Thousand Dollars,385981,2021,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total expenditure,Financial performance,Thousand Dollars,243519,2020,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total expenditure,Financial performance,Thousand Dollars,211588,2021,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Interest and donations,Financial performance,Thousand Dollars,27837,2020,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Interest and donations,Financial performance,Thousand Dollars,25620,2021,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Indirect taxes,Financial performance,Thousand Dollars,6673,2020,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Indirect taxes,Financial performance,Thousand Dollars,7259,2021,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Depreciation,Financial performance,Thousand Dollars,7905,2020,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Depreciation,Financial performance,Thousand Dollars,8013,2021,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Salaries and wages paid,Financial performance,Thousand Dollars,32425,2020,1 and 2 and 3 and 4 and 6
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Salaries and wages paid,Financial performance,Thousand Dollars,30370,2021,1 and 2 and 3 and 4 and 6
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Purchases and other operating expenses,Financial performance,Thousand Dollars,137886,2020,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Purchases and other operating expenses,Financial performance,Thousand Dollars,119750,2021,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Non-operating expenses,Financial performance,Thousand Dollars,30793,2020,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Non-operating expenses,Financial performance,Thousand Dollars,20576,2021,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Surplus before income tax,Financial performance,Thousand Dollars,128822,2020,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Surplus before income tax,Financial performance,Thousand Dollars,468039,2021,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total assets,Financial position,Thousand Dollars,5502172,2020,1 and 2 and 3 and 4 and 7
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total assets,Financial position,Thousand Dollars,6026003,2021,1 and 2 and 3 and 4 and 7
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current assets,Financial position,Thousand Dollars,279022,2020,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current assets,Financial position,Thousand Dollars,310428,2021,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Fixed tangible assets,Financial position,Thousand Dollars,3504106,2020,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Fixed tangible assets,Financial position,Thousand Dollars,3939400,2021,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Other assets,Financial position,Thousand Dollars,1719044,2020,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Other assets,Financial position,Thousand Dollars,1776175,2021,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total equity and liabilities,Financial position,Thousand Dollars,5502172,2020,1 and 2 and 3 and 4 and 7
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total equity and liabilities,Financial position,Thousand Dollars,6026003,2021,1 and 2 and 3 and 4 and 7
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Shareholders funds or owners equity,Financial position,Thousand Dollars,4168291,2020,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Shareholders funds or owners equity,Financial position,Thousand Dollars,4603779,2021,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current liabilities,Financial position,Thousand Dollars,199100,2020,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current liabilities,Financial position,Thousand Dollars,213253,2021,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Other liabilities,Financial position,Thousand Dollars,1134781,2020,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Other liabilities,Financial position,Thousand Dollars,1208971,2021,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total income per employee count,Financial ratios,Dollars,1638172,2020,1 and 2 and 3 and 4 and 8
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total income per employee count,Financial ratios,Dollars,2670531,2021,1 and 2 and 3 and 4 and 8
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Surplus per employee count,Financial ratios,Dollars,578808,2020,1 and 2 and 3 and 4 and 8
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Surplus per employee count,Financial ratios,Dollars,1808332,2021,1 and 2 and 3 and 4 and 8
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current ratio,Financial ratios,Percent,140.1,2020,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current ratio,Financial ratios,Percent,145.6,2021,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Quick ratio,Financial ratios,Percent,128.3,2020,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Quick ratio,Financial ratios,Percent,138.8,2021,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Return on equity,Financial ratios,Percent,3.1,2020,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Return on equity,Financial ratios,Percent,10.2,2021,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Return on total assets,Financial ratios,Percent,2.3,2020,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Return on total assets,Financial ratios,Percent,7.8,2021,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Liabilities structure,Financial ratios,Percent,75.8,2020,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Liabilities structure,Financial ratios,Percent,76.4,2021,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Debt to equity ratio,Financial ratios,Percent,32,2020,1 and 2 and 3 and 4
Table 9,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Debt to equity ratio,Financial ratios,Percent,30.9,2021,1 and 2 and 3 and 4
Table 10,Worker turnover rates,By business type,NA,Maori authorities,Ratio,13.3,2020_03,1 and 2
Table 10,Worker turnover rates,By business type,NA,Other Maori enterprises,Ratio,20.1,2020_03,1 and 3
Table 10,Worker turnover rates,By business type,NA,Maori tourism,Ratio,20.6,2020_03,1 and 4
Table 10,Worker turnover rates,By business type,NA,All New Zealand businesses,Ratio,16.3,2020_03,1
Table 10,Worker turnover rates,By business type,NA,Maori authorities,Ratio,12.4,2020_06,1 and 2
Table 10,Worker turnover rates,By business type,NA,Other Maori enterprises,Ratio,16.9,2020_06,1 and 3
Table 10,Worker turnover rates,By business type,NA,Maori tourism,Ratio,18.9,2020_06,1 and 4
Table 10,Worker turnover rates,By business type,NA,All New Zealand businesses,Ratio,13.4,2020_06,1
Table 10,Worker turnover rates,By business type,NA,Maori authorities,Ratio,15,2020_09,1 and 2
Table 10,Worker turnover rates,By business type,NA,Other Maori enterprises,Ratio,18.2,2020_09,1 and 3
Table 10,Worker turnover rates,By business type,NA,Maori tourism,Ratio,22,2020_09,1 and 4
Table 10,Worker turnover rates,By business type,NA,All New Zealand businesses,Ratio,12.6,2020_09,1
Table 10,Worker turnover rates,By business type,NA,Maori authorities,Ratio,15.9,2020_12,1 and 2
Table 10,Worker turnover rates,By business type,NA,Other Maori enterprises,Ratio,18.1,2020_12,1 and 3
Table 10,Worker turnover rates,By business type,NA,Maori tourism,Ratio,23.5,2020_12,1 and 4
Table 10,Worker turnover rates,By business type,NA,All New Zealand businesses,Ratio,13.1,2020_12,1
Table 10,Worker turnover rates,By business type,NA,Maori authorities,Ratio,14,2021_03,1 and 2
Table 10,Worker turnover rates,By business type,NA,Other Maori enterprises,Ratio,18.4,2021_03,1 and 3
Table 10,Worker turnover rates,By business type,NA,Maori tourism,Ratio,18.9,2021_03,1 and 4
Table 10,Worker turnover rates,By business type,NA,All New Zealand businesses,Ratio,14.1,2021_03,1
Table 11,Filled jobs,By business type,NA,Maori authorities,Filled Jobs,10930,2020_03,1 and 2
Table 11,Filled jobs,By business type,NA,Other Maori enterprises,Filled Jobs,9160,2020_03,1 and 3
Table 11,Filled jobs,By business type,NA,Maori tourism,Filled Jobs,1980,2020_03,1 and 4
Table 11,Filled jobs,By business type,NA,Maori authorities,Filled Jobs,10510,2020_06,1 and 2
Table 11,Filled jobs,By business type,NA,Other Maori enterprises,Filled Jobs,8690,2020_06,1 and 3
Table 11,Filled jobs,By business type,NA,Maori tourism,Filled Jobs,1700,2020_06,1 and 4
Table 11,Filled jobs,By business type,NA,Maori authorities,Filled Jobs,10520,2020_09,1 and 2
Table 11,Filled jobs,By business type,NA,Other Maori enterprises,Filled Jobs,8550,2020_09,1 and 3
Table 11,Filled jobs,By business type,NA,Maori tourism,Filled Jobs,1440,2020_09,1 and 4
Table 11,Filled jobs,By business type,NA,Maori authorities,Filled Jobs,10620,2020_12,1 and 2
Table 11,Filled jobs,By business type,NA,Other Maori enterprises,Filled Jobs,8810,2020_12,1 and 3
Table 11,Filled jobs,By business type,NA,Maori tourism,Filled Jobs,1380,2020_12,1 and 4
Table 11,Filled jobs,By business type,NA,Maori authorities,Filled Jobs,10550,2021_03,1 and 2
Table 11,Filled jobs,By business type,NA,Other Maori enterprises,Filled Jobs,8910,2021_03,1 and 3
Table 11,Filled jobs,By business type,NA,Maori tourism,Filled Jobs,1380,2021_03,1 and 4
Table 12,Goods exports,By business type,By selected country: People's Republic of China,Maori authorities,Million Dollars,300,2020,1 and 2 and 3 and 4
Table 12,Goods exports,By business type,By selected country: People's Republic of China,Maori authorities,Million Dollars,384,2021,1 and 2 and 3 and 4
Table 12,Goods exports,By business type,By selected country: People's Republic of China,Maori authorities,Percent of total business type,44,2021,1 and 2 and 3 and 4
Table 12,Goods exports,By business type,By selected country: US,Maori authorities,Million Dollars,45,2020,1 and 2 and 3 and 4
Table 12,Goods exports,By business type,By selected country: US,Maori authorities,Million Dollars,45,2021,1 and 2 and 3 and 4
Table 12,Goods exports,By business type,By selected country: US,Maori authorities,Percent of total business type,5,2021,1 and 2 and 3 and 4
Table 12,Goods exports,By business type,By selected country: Vietnam,Maori authorities,Million Dollars,26,2020,1 and 2 and 3 and 4
Table 12,Goods exports,By business type,By selected country: Vietnam,Maori authorities,Million Dollars,15,2021,1 and 2 and 3 and 4
Table 12,Goods exports,By business type,By selected country: Vietnam,Maori authorities,Percent of total business type,2,2021,1 and 2 and 3 and 4
Table 12,Goods exports,By business type,By selected country: Other,Maori authorities,Million Dollars,350,2020,1 and 2 and 3 and 4
Table 12,Goods exports,By business type,By selected country: Other,Maori authorities,Million Dollars,429,2021,1 and 2 and 3 and 4
Table 12,Goods exports,By business type,By selected country: Other,Maori authorities,Percent of total business type,49,2021,1 and 2 and 3 and 4
Table 12,Goods exports,By business type,"By commodity (HS code): Milk powder, butter and cheese",Maori authorities,Million Dollars,153,2020,1 and 2 and 3 and 5
Table 12,Goods exports,By business type,"By commodity (HS code): Milk powder, butter and cheese",Maori authorities,Million Dollars,207,2021,1 and 2 and 3 and 5
Table 12,Goods exports,By business type,"By commodity (HS code): Milk powder, butter and cheese",Maori authorities,Percent of total business type,24,2021,1 and 2 and 3 and 5
Table 12,Goods exports,By business type,By commodity (HS code): All other,Maori authorities,Million Dollars,568,2020,1 and 2 and 3 and 5
Table 12,Goods exports,By business type,By commodity (HS code): All other,Maori authorities,Million Dollars,665,2021,1 and 2 and 3 and 5
Table 12,Goods exports,By business type,By commodity (HS code): All other,Maori authorities,Percent of total business type,76,2021,1 and 2 and 3 and 5
Table 12,Goods exports,By business type,Total,Maori authorities,Million Dollars,721,2020,1 and 2 and 3
Table 12,Goods exports,By business type,Total,Maori authorities,Million Dollars,872,2021,1 and 2 and 3
Table 12,Goods exports,By business type,Total,Maori authorities,Percent of total business type,100,2021,1 and 2 and 3
Table 12,Goods exports,By business type,By selected country: Australia,Other Maori enterprises,Million Dollars,9,2020,1 and 2 and 4 and 6
Table 12,Goods exports,By business type,By selected country: Australia,Other Maori enterprises,Million Dollars,12,2021,1 and 2 and 4 and 6
Table 12,Goods exports,By business type,By selected country: Australia,Other Maori enterprises,Percent of total business type,5,2021,1 and 2 and 4 and 6
Table 12,Goods exports,By business type,By selected country: Other,Other Maori enterprises,Million Dollars,192,2020,1 and 2 and 4 and 6
Table 12,Goods exports,By business type,By selected country: Other,Other Maori enterprises,Million Dollars,212,2021,1 and 2 and 4 and 6
Table 12,Goods exports,By business type,By selected country: Other,Other Maori enterprises,Percent of total business type,95,2021,1 and 2 and 4 and 6
Table 12,Goods exports,By business type,Total,Other Maori enterprises,Million Dollars,202,2020,1 and 2 and 6
Table 12,Goods exports,By business type,Total,Other Maori enterprises,Million Dollars,223,2021,1 and 2 and 6
Table 12,Goods exports,By business type,Total,Other Maori enterprises,Percent of total business type,100,2021,1 and 2 and 6
Table 13,Goods exporting enterprises,By business type,Maori authority,NA,Counts,13,2020,1
Table 13,Goods exporting enterprises,By business type,Maori authority,NA,Counts,12,2021,1
Table 13,Goods exporting enterprises,By business type,Other Maori enterprises,NA,Counts,49,2020,2
Table 13,Goods exporting enterprises,By business type,Other Maori enterprises,NA,Counts,44,2021,2
